  0.9667000     -0.8159000
  4.2820808E-05  0.7432098      7.3330713E-13
  4.3266813E-05  0.7506908      7.6407440E-13
  4.3717460E-05  0.7582478      7.9613323E-13
  4.4172786E-05  0.7658799      8.2953539E-13
  4.4632870E-05  0.7735895      8.6434061E-13
  4.5097750E-05  0.7813766      9.0060603E-13
  4.5567464E-05  0.7892419      9.3839259E-13
  4.6042074E-05  0.7971867      9.7776518E-13
  4.6521629E-05  0.8052115      1.0187899E-12
  4.7006171E-05  0.8133166      1.0615346E-12
  4.7495760E-05  0.8215032      1.1060726E-12
  4.7990452E-05  0.8297725      1.1524799E-12
  4.8490299E-05  0.8381252      1.2008351E-12
  4.8995349E-05  0.8465620      1.2512185E-12
  4.9505663E-05  0.8550835      1.3037162E-12
  5.0021292E-05  0.8636907      1.3584162E-12
  5.0542279E-05  0.8723844      1.4154097E-12
  5.1068706E-05  0.8811656      1.4747961E-12
  5.1600611E-05  0.8900351      1.5366733E-12
  5.2138057E-05  0.8989942      1.6011474E-12
  5.2681102E-05  0.9080434      1.6683264E-12
  5.3229811E-05  0.9171838      1.7383252E-12
  5.3784213E-05  0.9264157      1.8112577E-12
  5.4344408E-05  0.9357409      1.8872525E-12
  5.4910437E-05  0.9451599      1.9664359E-12
  5.5482353E-05  0.9546738      2.0489409E-12
  5.6060235E-05  0.9642831      2.1349079E-12
  5.6644127E-05  0.9739890      2.2244804E-12
  5.7234090E-05  0.9837930      2.3178104E-12
  5.7830217E-05  0.9936953      2.4150582E-12
  5.8432550E-05   1.003697      2.5163853E-12
  5.9041158E-05   1.013801      2.6219658E-12
  5.9656104E-05   1.024005      2.7319742E-12
  6.0277453E-05   1.034312      2.8465977E-12
  6.0905277E-05   1.044723      2.9660317E-12
  6.1539620E-05   1.055238      3.0904732E-12
  6.2180596E-05   1.065860      3.2201388E-12
  6.2828236E-05   1.076588      3.3552440E-12
  6.3482628E-05   1.087425      3.4960184E-12
  6.4143831E-05   1.098370      3.6426981E-12
  6.4811924E-05   1.109425      3.7955325E-12
  6.5486958E-05   1.120591      3.9547736E-12
  6.6169043E-05   1.131870      4.1207007E-12
  6.6858229E-05   1.143263      4.2935920E-12
  6.7554596E-05   1.154770      4.4737334E-12
  6.8258210E-05   1.166393      4.6614336E-12
  6.8969159E-05   1.178133      4.8570106E-12
  6.9687492E-05   1.189991      5.0607864E-12
  7.0413320E-05   1.201968      5.2731153E-12
  7.1146715E-05   1.214066      5.4943558E-12
  7.1887749E-05   1.226285      5.7248746E-12
  7.2636503E-05   1.238628      5.9650683E-12
  7.3393050E-05   1.251094      6.2153377E-12
  7.4157455E-05   1.263686      6.4761005E-12
  7.4929849E-05   1.276405      6.7478089E-12
  7.5710283E-05   1.289252      7.0309210E-12
  7.6498844E-05   1.302228      7.3259081E-12
  7.7295619E-05   1.315334      7.6332708E-12
  7.8100697E-05   1.328573      7.9535302E-12
  7.8914134E-05   1.341943      8.2872129E-12
  7.9736070E-05   1.355449      8.6349062E-12
  8.0566562E-05   1.369092      8.9971919E-12
  8.1405706E-05   1.382870      9.3746642E-12
  8.2253595E-05   1.396788      9.7679902E-12
  8.3110310E-05   1.410846      1.0177805E-11
  8.3975945E-05   1.425045      1.0604813E-11
  8.4850602E-05   1.439387      1.1049743E-11
  8.5734369E-05   1.453874      1.1513340E-11
  8.6627340E-05   1.468505      1.1996379E-11
  8.7529559E-05   1.483283      1.2499661E-11
  8.8441229E-05   1.498211      1.3024081E-11
  8.9362395E-05   1.513289      1.3570508E-11
  9.0293150E-05   1.528518      1.4139849E-11
  9.1233604E-05   1.543901      1.4733085E-11
  9.2183858E-05   1.559438      1.5351213E-11
  9.3144001E-05   1.575132      1.5995266E-11
  9.4114148E-05   1.590983      1.6666340E-11
  9.5094394E-05   1.606994      1.7365557E-11
  9.6084841E-05   1.623165      1.8094110E-11
  9.7085627E-05   1.639500      1.8853242E-11
  9.8096825E-05   1.655999      1.9644219E-11
  9.9118508E-05   1.672662      2.0468335E-11
  1.0015089E-04   1.689494      2.1327055E-11
  1.0119400E-04   1.706496      2.2221820E-11
  1.0224800E-04   1.723668      2.3154102E-11
  1.0331297E-04   1.741013      2.4125512E-11
  1.0438903E-04   1.758533      2.5137661E-11
  1.0547631E-04   1.776228      2.6192283E-11
  1.0657489E-04   1.794101      2.7291140E-11
  1.0768492E-04   1.812155      2.8436102E-11
  1.0880653E-04   1.830390      2.9629087E-11
  1.0993981E-04   1.848808      3.0872124E-11
  1.1108488E-04   1.867411      3.2167304E-11
  1.1224188E-04   1.886200      3.3516797E-11
  1.1341089E-04   1.905179      3.4922863E-11
  1.1459213E-04   1.924348      3.6387983E-11
  1.1578568E-04   1.943711      3.7914567E-11
  1.1699164E-04   1.963268      3.9505180E-11
  1.1821017E-04   1.983021      4.1162507E-11
  1.1944140E-04   2.002974      4.2889380E-11
  1.2068544E-04   2.023126      4.4688680E-11
  1.2194245E-04   2.043481      4.6563465E-11
  1.2321254E-04   2.064040      4.8516864E-11
  1.2449585E-04   2.084808      5.0552257E-11
  1.2579256E-04   2.105783      5.2673029E-11
  1.2710276E-04   2.126968      5.4882734E-11
  1.2842655E-04   2.148367      5.7185062E-11
  1.2976416E-04   2.169980      5.9584025E-11
  1.3111574E-04   2.191810      6.2083658E-11
  1.3248138E-04   2.213861      6.4688158E-11
  1.3386123E-04   2.236132      6.7401862E-11
  1.3525548E-04   2.258629      7.0229454E-11
  1.3666424E-04   2.281349      7.3175604E-11
  1.3808768E-04   2.304299      7.6245371E-11
  1.3952593E-04   2.327479      7.9443875E-11
  1.4097916E-04   2.350892      8.2776556E-11
  1.4244753E-04   2.374540      8.6249029E-11
  1.4393122E-04   2.398427      8.9867218E-11
  1.4543033E-04   2.422551      9.3637063E-11
  1.4694499E-04   2.446918      9.7564908E-11
  1.4847550E-04   2.471530      1.0165768E-10
  1.5002195E-04   2.496391      1.0592217E-10
  1.5158451E-04   2.521499      1.1036547E-10
  1.5316336E-04   2.546862      1.1499524E-10
  1.5475863E-04   2.572477      1.1981910E-10
  1.5637053E-04   2.598350      1.2484531E-10
  1.5799921E-04   2.624483      1.3008236E-10
  1.5964486E-04   2.650879      1.3553908E-10
  1.6130763E-04   2.677539      1.4122463E-10
  1.6298775E-04   2.704466      1.4714867E-10
  1.6468535E-04   2.731665      1.5332119E-10
  1.6640055E-04   2.759134      1.5975227E-10
  1.6813370E-04   2.786879      1.6645330E-10
  1.6988491E-04   2.814905      1.7343553E-10
